SalesOrderLineKey;ResellerKey;CustomerKey;ProductKey;OrderDateKey;ShipDateKey;SalesTerritoryKey;Order Quantity;Unit Price;Sales Amount;CurrencyKey
43663001;510;-1;322;20170707;20170714;4;1;419,46;419,46;100
43666001;511;-1;330;20170709;20170716;4;1;419,46;419,46;100
43666006;511;-1;334;20170709;20170716;4;1;419,46;419,46;100
43678001;203;-1;322;20170718;20170725;4;1;419,46;419,46;100
43678003;203;-1;332;20170718;20170725;4;1;419,46;419,46;100
43678013;203;-1;342;20170718;20170725;4;1;419,46;419,46;100
43680010;491;-1;324;20170718;20170725;4;1;419,46;419,46;100
43680015;491;-1;328;20170718;20170725;4;1;419,46;419,46;100
43692006;221;-1;338;20170729;20170805;4;1;419,46;419,46;100
43692019;221;-1;330;20170729;20170805;4;1;419,46;419,46;100
43692021;221;-1;334;20170729;20170805;4;1;419,46;419,46;100
43692025;221;-1;328;20170729;20170805;4;1;419,46;419,46;100
43859002;259;-1;326;20170807;20170814;4;1;419,46;419,46;100
43863003;471;-1;322;20170807;20170814;4;1;419,46;419,46;100
43863004;471;-1;326;20170807;20170814;4;1;419,46;419,46;100
43865007;328;-1;326;20170808;20170815;4;1;419,46;419,46;100
43872001;240;-1;328;20170813;20170820;4;1;419,46;419,46;100
43872005;240;-1;332;20170813;20170820;4;1;419,46;419,46;100
43872015;240;-1;322;20170813;20170820;4;1;419,46;419,46;100
43873016;78;-1;332;20170813;20170820;4;1;419,46;419,46;100
43896002;256;-1;342;20170822;20170829;4;1;419,46;419,46;100
43904005;255;-1;322;20170825;20170901;4;1;419,46;419,46;100
43904011;255;-1;326;20170825;20170901;4;1;419,46;419,46;100
43912004;403;-1;322;20170830;20170906;4;1;419,46;419,46;100
44088001;624;-1;330;20170906;20170913;4;1;419,46;419,46;100
44089003;114;-1;322;20170906;20170913;4;1;419,46;419,46;100
44090001;417;-1;324;20170906;20170913;4;1;419,46;419,46;100
44092001;273;-1;342;20170907;20170914;4;1;419,46;419,46;100
44092002;273;-1;332;20170907;20170914;4;1;419,46;419,46;100
44092005;273;-1;322;20170907;20170914;4;1;419,46;419,46;100
44093010;93;-1;338;20170907;20170914;4;1;419,46;419,46;100
44099006;473;-1;328;20170908;20170915;4;1;419,46;419,46;100
44107003;647;-1;334;20170910;20170917;4;1;419,46;419,46;100
44107006;647;-1;324;20170910;20170917;4;1;419,46;419,46;100
44108001;365;-1;322;20170911;20170918;4;1;419,46;419,46;100
44124009;3;-1;338;20170914;20170921;4;1;419,46;419,46;100
44124015;3;-1;334;20170914;20170921;4;1;419,46;419,46;100
44281001;510;-1;342;20170919;20170926;4;1;419,46;419,46;100
44286003;511;-1;330;20170921;20170928;4;1;419,46;419,46;100
44286005;511;-1;328;20170921;20170928;4;1;419,46;419,46;100
44290002;383;-1;342;20170922;20170929;4;1;419,46;419,46;100
44290003;383;-1;322;20170922;20170929;4;1;419,46;419,46;100
44299001;203;-1;326;20170925;20171002;4;1;419,46;419,46;100
44299005;203;-1;338;20170925;20171002;4;1;419,46;419,46;100
44299006;203;-1;342;20170925;20171002;4;1;419,46;419,46;100
44299011;203;-1;324;20170925;20171002;4;1;419,46;419,46;100
44299014;203;-1;332;20170925;20171002;4;1;419,46;419,46;100
44299018;203;-1;322;20170925;20171002;4;1;419,46;419,46;100
44299019;203;-1;336;20170925;20171002;4;1;419,46;419,46;100
44299022;203;-1;320;20170925;20171002;4;1;419,46;419,46;100
44301003;491;-1;324;20170925;20171002;4;1;419,46;419,46;100
44301007;491;-1;320;20170925;20171002;4;1;419,46;419,46;100
44301008;491;-1;330;20170925;20171002;4;1;419,46;419,46;100
44301010;491;-1;334;20170925;20171002;4;1;419,46;419,46;100
44301015;491;-1;342;20170925;20171002;4;1;419,46;419,46;100
44301018;491;-1;322;20170925;20171002;4;1;419,46;419,46;100
44301026;491;-1;340;20170925;20171002;4;1;419,46;419,46;100
44314019;166;-1;340;20170928;20171005;4;1;419,46;419,46;100
44317017;221;-1;332;20170929;20171006;4;1;419,46;419,46;100
44500001;259;-1;328;20171106;20171113;4;1;419,46;419,46;100
44508001;471;-1;324;20171108;20171115;4;1;419,46;419,46;100
44508003;471;-1;332;20171108;20171115;4;1;419,46;419,46;100
44509013;328;-1;336;20171108;20171115;4;1;419,46;419,46;100
44509023;328;-1;338;20171108;20171115;4;1;419,46;419,46;100
44520025;78;-1;338;20171110;20171117;4;1;419,46;419,46;100
44520027;78;-1;320;20171110;20171117;4;1;419,46;419,46;100
44521001;240;-1;320;20171110;20171117;4;1;419,46;419,46;100
44521012;240;-1;334;20171110;20171117;4;1;419,46;419,46;100
44521022;240;-1;326;20171110;20171117;4;1;419,46;419,46;100
44538006;167;-1;332;20171113;20171120;4;1;419,46;419,46;100
44538018;167;-1;324;20171113;20171120;4;1;419,46;419,46;100
44538034;167;-1;338;20171113;20171120;4;1;419,46;419,46;100
44545001;256;-1;328;20171114;20171121;4;1;419,46;419,46;100
44548001;528;-1;332;20171115;20171122;4;1;419,46;419,46;100
44557010;255;-1;342;20171116;20171123;4;1;419,46;419,46;100
44557011;255;-1;330;20171116;20171123;4;1;419,46;419,46;100
44557013;255;-1;334;20171116;20171123;4;1;419,46;419,46;100
44557014;255;-1;340;20171116;20171123;4;1;419,46;419,46;100
44557021;255;-1;332;20171116;20171123;4;1;419,46;419,46;100
44564004;403;-1;326;20171118;20171125;4;1;419,46;419,46;100
44564006;403;-1;336;20171118;20171125;4;1;419,46;419,46;100
44564007;403;-1;334;20171118;20171125;4;1;419,46;419,46;100
44564017;403;-1;328;20171118;20171125;4;1;419,46;419,46;100
44564024;403;-1;332;20171118;20171125;4;1;419,46;419,46;100
44752002;114;-1;332;20171121;20171128;4;1;419,46;419,46;100
44753002;96;-1;340;20171122;20171129;4;1;419,46;419,46;100
44755001;273;-1;322;20171122;20171129;4;1;419,46;419,46;100
44755007;273;-1;320;20171122;20171129;4;1;419,46;419,46;100
44755017;273;-1;342;20171122;20171129;4;1;419,46;419,46;100
44755020;273;-1;328;20171122;20171129;4;1;419,46;419,46;100
44768001;647;-1;338;20171124;20171201;4;1;419,46;419,46;100
44768004;647;-1;336;20171124;20171201;4;1;419,46;419,46;100
44770002;365;-1;326;20171125;20171202;4;1;419,46;419,46;100
